sample,iterations,T_C,T_C_sd,H2OT-eq_wtpc,H2OT-eq_wtpc_sd,CO2T-eq_ppmw,CO2T-eq_ppmw_sd,ST_ppmw,ST_ppmw_sd,X_ppmw,X_ppmw_sd,SCSS_ppm,SCSS_ppm_sd,sulfide saturated,P_bar_sulf,P_bar_sulf_sd,fO2_DFMQ_sulf,fO2_DFMQ_sulf_sd,fO2_bar_sulf,fO2_bar_sulf_sd,Fe3+/FeT_sulf,Fe3+/FeT_sulf_sd,S6+/ST_sulf,S6+/ST_sulf_sd,SCAS_ppm,SCAS_ppm_sd,anhydrite saturated,P_bar_anh,P_bar_anh_sd,fO2_DFMQ_anh,fO2_DFMQ_anh_sd,fO2_bar_anh,fO2_bar_anh_sd,Fe3+/FeT_anh,Fe3+/FeT_anh_sd,S6+/ST_anh,S6+/ST_anh_sd,setup opt,COH_species opt,H2S_m opt,species X opt,Hspeciation opt,fO2 opt,NNObuffer opt,FMQbuffer opt,carbon dioxide opt,water opt,hydrogen opt,sulfide opt,sulfate opt,hydrogen sulfide opt,methane opt,carbon monoxide opt,species X solubility opt,Cspeccomp opt,Hspeccomp opt,SCSS opt,SCAS opt,sulfur_saturation opt,sulfur_is_sat opt,graphite_saturation opt,ideal_gas opt,y_CO2 opt,y_SO2 opt,y_H2S opt,y_H2 opt,y_O2 opt,y_S2 opt,y_CO opt,y_CH4 opt,y_H2O opt,y_OCS opt,y_X opt,KHOg opt,KHOSg opt,KOSg opt,KOSg2 opt,KCOg opt,KCOHg opt,KOCSg opt,KCOs opt,carbonylsulfide opt,density opt,Date
TN273-01D-01-01,100,1028.7878319713905,48.84994173673033,1.8746747103735455,0.2351152182585506,28.753997472143816,43.89092638523964,361.5764303718869,91.32866873164784,0.0,0.0,487.1359757067532,64.68402047435757,Both,425.883907964788,96.82293050196441,1.0981221207948804,0.1724565867828114,1.4174581814037012e-10,1.1148785753680034e-10,0.21674995944977982,0.015769954533409528,0.11586190775182498,0.050641039045939786,2300.6190290682825,638.0152465037678,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:27:16.738019
TN273-02D-01-02,100,1047.461083099022,47.31796781208243,1.590055801089853,0.2476442181387199,49.53111889815651,50.85797868549558,310.2569700557955,104.15420821143702,0.0,0.0,536.3781616417092,68.07133914451941,False,,,,,,,,,,,2469.202350987718,673.6166423457022,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:27:21.687932
Agr07-4,100,1067.2322649596874,57.05998015435533,5.974769192621921,0.25228155027908705,187.11055810748752,63.43416695946096,1075.2658922221183,101.01287317842218,0.0,0.0,581.6178144814734,85.806093246336,possible,3164.41212382893,220.88851133884222,1.4171914331791198,0.14879289018392355,1.3514416563963511e-08,4.0070994998089885e-08,0.2567008472215314,0.01606090535780089,0.45505263302113225,0.09031196075422293,5915.492274428896,1844.8145141876307,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:27:24.195335
Agr07-9,100,1061.5672509206877,52.8533843468126,4.3993934430818635,0.22693587412618776,372.30754991767407,78.47694047186968,827.4722447498067,91.3109018771511,0.0,0.0,597.0959919644772,75.0226285132528,Both,2311.7281295677576,199.48528709229416,1.1829678892362034,0.1721526010882114,2.9780903329555974e-09,3.4406574567248696e-09,0.24334944132242828,0.01765558204768423,0.2922487409144549,0.10304768356915356,4881.537463036451,1360.402432606603,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:28:48.179154
Agr07-15A,100,1101.823168149923,46.5725619620282,3.4786827714688773,0.24635886905066756,436.00864278156075,79.80834800169228,1351.8372495979365,94.9906032447221,0.0,0.0,849.1854526854231,86.40481895677226,possible,1943.2860628738288,193.27940228189394,1.1628333038612102,0.1285498559536566,1.090112463572805e-08,1.3189721865034442e-08,0.23565323757735626,0.012572394506702176,0.368504036672496,0.07897038195623536,5495.0151742354965,1297.932481028753,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:29:59.476579
Agr07-15B,100,1108.1401064905376,48.873173778036154,3.4194723031787424,0.2504608988312643,199.2678230729425,63.7039676459263,1357.054365781748,110.81926594330706,0.0,0.0,842.5335709600967,97.07834419768588,possible,1496.056143778414,177.6174088392742,1.186214936812235,0.14306640494221587,1.3751899607241155e-08,2.297342102293045e-08,0.23934929911713249,0.01381432390695605,0.3753570546548659,0.08595106087518478,5597.025012523171,1361.3720174192072,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:31:15.013744
Agr04-13,100,1076.9664108165828,47.072663201129046,3.4163708038886687,0.21108314739361334,409.3042881049034,73.17354375585116,977.9380176903586,94.97558426315992,0.0,0.0,620.1969423443759,72.3291085353634,possible,1809.9270386369228,168.37911195737513,1.195657251688584,0.15061655850078823,5.847200758414837e-09,8.82149200955534e-09,0.2367329447986305,0.014372157853102623,0.35995756285471375,0.09527724144580851,4227.55166641847,1071.2326689626705,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:32:23.250952
Agr04-14,100,1108.6773770100544,51.43066145892297,1.9929235678304715,0.24992148056544022,134.72184352812323,69.24531698741978,1504.665389503044,93.8996921878608,0.0,0.0,911.6538715516639,103.55027982232055,possible,758.6080326147014,184.95699493010443,1.1421684492058537,0.14655783665888902,1.0992847720149106e-08,1.3467672734307615e-08,0.23224919680027728,0.013876941214479185,0.39132215250978153,0.08295599348739469,4956.647291214117,1272.8264892357186,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:33:41.844630
AGR19-02-4,100,1049.7940935013296,48.51357391573013,3.261741665157344,0.2957612189061766,638.8124450775568,68.86194574065198,1183.8185674889291,108.83438166540438,0.0,0.0,752.1879622220589,94.70796877600387,possible,2148.737011201165,192.3287401551951,1.1736310285216398,0.1493217915140337,3.0357187822307013e-09,6.3869665979928765e-09,0.24598646055500367,0.01532654743033279,0.3604015292222891,0.09016019709948134,4348.334782778836,1221.5414435104872,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:34:50.994401
AGR19-02-7,100,1057.1689320320074,49.21863736156159,2.7238924574727363,0.26437805314268104,154.95204772404213,78.94792349879013,1397.4035748986487,101.99209021699838,0.0,0.0,771.3695426000077,95.56926689221811,possible,1052.9616532859714,198.95927812727763,1.2640653134694013,0.14255704037473446,3.403100378018002e-09,5.860985060997561e-09,0.2574594941191181,0.01567108601748828,0.4450146042274985,0.0812515889397922,4261.212672089951,1120.1112306725215,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:36:30.446722
